Exercise,Muscle Group,Description,Equipment,YouTube URL
Bench Press,"Chest, Shoulders, Triceps","Compound pushing exercise performed lying on a bench, pressing a barbell from chest to full arm extension","Barbell, Bench",https://www.youtube.com/watch?v=rT7DgCr-3pg
Squats,"Quadriceps, Glutes, Hamstrings","Fundamental lower body compound movement, lowering hips from standing position and returning to standing","Barbell, Squat Rack",https://www.youtube.com/watch?v=ultWZbUMPL8
Dumbbell Rows,"Back, Biceps","Unilateral pulling exercise with dumbbell, rowing from hanging position to hip while supporting body on bench","Dumbbell, Bench",https://www.youtube.com/watch?v=6TSP1TRMUzs
Overhead Press,"Shoulders, Triceps","Standing or seated pressing movement, pushing barbell or dumbbells from shoulder height to overhead","Barbell, Squat Rack",https://www.youtube.com/watch?v=2yjwXTZQDDI
Deadlifts,"Back, Glutes, Hamstrings","Hip hinge movement lifting barbell from floor to standing position with neutral spine",Barbell,https://www.youtube.com/watch?v=op9kVnSso6Q
Pull-ups,"Back, Biceps","Bodyweight vertical pulling exercise, hanging from bar and pulling chin over bar",Pull-up Bar,https://www.youtube.com/watch?v=eGo4IYlbE5g
Incline Dumbbell Press,"Chest, Shoulders","Pressing movement on inclined bench (30-45 degrees), emphasizing upper chest development","Dumbbells, Incline Bench",https://www.youtube.com/watch?v=8iPEnn-ltC8
Leg Press,"Quadriceps, Glutes","Machine-based lower body exercise, pushing weighted platform away while seated",Leg Press Machine,https://www.youtube.com/watch?v=IZxyjW7MPJQ
Lat Pulldowns,"Back, Biceps","Cable machine exercise, pulling bar down to chest from overhead position",Cable Machine,https://www.youtube.com/watch?v=CAwf7n6Luuc
Dumbbell Curls,Biceps,"Isolation exercise for biceps, curling dumbbells from extended arm to contracted position",Dumbbells,https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Tricep Dips,Triceps,"Bodyweight exercise lowering and raising body between parallel bars or on bench edge","Dip Bar, Bench",https://www.youtube.com/watch?v=6kALZikXxLc
Calf Raises,Calves,"Standing or seated exercise raising heels off ground to contract calf muscles","Dumbbells, Calf Raise Machine",
Plank,Abdominals,"Isometric core exercise holding body in push-up position, maintaining straight line from head to heels",None,
Shoulder Shrugs,Trapezius,"Upper trap isolation exercise, lifting shoulders toward ears while holding weight","Barbell, Dumbbells",
Wrist Curls,Forearms,"Isolation exercise for forearm flexors, curling weight using only wrist movement","Dumbbells, Barbell",
