Exercise,Sets,Reps,Weight (lbs),Rest (sec),Day,Muscle Group,YouTube URL
Bench Press,4,8-10,185,90,Monday,"Chest, Shoulders, Triceps",https://www.youtube.com/watch?v=rT7DgCr-3pg
Squats,4,8-10,225,120,Monday,"Quadriceps, Glutes, Hamstrings",https://www.youtube.com/watch?v=ultWZbUMPL8
Dumbbell Rows,3,10-12,70,60,Monday,"Back, Biceps",https://www.youtube.com/watch?v=6TSP1TRMUzs
Overhead Press,3,8-10,95,90,Wednesday,"Shoulders, Triceps",https://www.youtube.com/watch?v=2yjwXTZQDDI
Deadlifts,3,6-8,275,180,Wednesday,"Back, Glutes, Hamstrings",https://www.youtube.com/watch?v=op9kVnSso6Q
Pull-ups,3,8-10,Bodyweight,90,Wednesday,"Back, Biceps",https://www.youtube.com/watch?v=eGo4IYlbE5g
Incline Dumbbell Press,3,10-12,65,60,Friday,"Chest, Shoulders",https://www.youtube.com/watch?v=8iPEnn-ltC8
Leg Press,3,12-15,315,90,Friday,"Quadriceps, Glutes",https://www.youtube.com/watch?v=IZxyjW7MPJQ
Lat Pulldowns,3,10-12,140,60,Friday,"Back, Biceps",https://www.youtube.com/watch?v=CAwf7n6Luuc
Dumbbell Curls,3,10-12,35,45,Friday,Biceps,https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Tricep Dips,3,8-10,Bodyweight,60,Friday,Triceps,https://www.youtube.com/watch?v=6kALZikXxLc
Calf Raises,3,15-20,135,45,Friday,Calves,
Plank,3,60sec,Bodyweight,30,Wednesday,Abdominals,
Shoulder Shrugs,3,12-15,155,45,Wednesday,Trapezius,
Wrist Curls,2,15-20,25,30,Monday,Forearms,
